Strategy,Avg_Reward,Total_Reward
Static:Popularity,0.03927152317880794,237.2
Static:BPR-MF,0.046970198675496684,283.7
Static:Hybrid,0.048658940397351,293.90000000000003
Static:Random,0.0022019867549668876,13.3
epsilon-greedy(0.1),0.04736754966887417,286.1
epsilon-greedy(0.3),0.04271523178807947,258.0
UCB1,0.04059602649006623,245.20000000000002
Thompson,0.04846026490066225,292.7
