Multiplier,Samples,NDCG@10,Recall@10,Coverage
1,469223,0.05017480591639473,0.04485695693424127,0.028641571194762683
5,2346115,0.06608606222981007,0.06995375038517035,0.34233496999454444
10,4692230,0.06509328567608787,0.06980107958266485,0.42416803055100927
20,9384460,0.06464506919924988,0.06965145800358455,0.4686306601200218
