Model,NDCG@5,Recall@5,Precision@5,NDCG@10,Recall@10,Precision@10,NDCG@20,Recall@20,Precision@20,Coverage,Popularity_Bias
NeuMF,0.05285161191826262,0.03450378271514432,0.04960264900662252,0.0619447121359711,0.06220138737504789,0.044735099337748344,0.07654942616830661,0.10720099745477196,0.03887417218543047,0.5681942171303873,1227.4075413907285
Two-Tower,0.05526992492391536,0.03686353813155623,0.05221854304635761,0.06479697590198522,0.06659150994849941,0.04771523178807948,0.07995234144960084,0.11244002148271054,0.04097682119205298,0.541189307146754,1199.3168874172186
BPR-MF,0.05706446037778596,0.0392055172445166,0.051788079470198686,0.0656499260499006,0.06919319024033337,0.0456953642384106,0.08281625314903335,0.12165326696763563,0.0407864238410596,0.4541734860883797,1099.0415562913906
