Model,Cold (<=30),Warm (>=100)
BPR-MF,0.07298245331563159,0.07070117916199357
Content-Based,0.04783918715669469,0.031223065067460105
Blend(a=0.8),0.08059817836831548,0.06676866971893868
CandGen+Rerank,0.0769348750907239,0.06927728533775933
