Model,NDCG@5,Recall@5,Precision@5,NDCG@10,Recall@10,Precision@10,NDCG@20,Recall@20,Precision@20,Coverage,Popularity_Bias
BPR-MF,0.056745916387993714,0.038941880722466585,0.05129139072847682,0.06636112100381618,0.07038997673803415,0.0466225165562914,0.08293059529452333,0.12069829238506882,0.04054635761589404,0.45881069285324605,1095.2456125827814
Popularity,0.04367265018943934,0.02426225890112854,0.042549668874172185,0.049010854441425764,0.04330616713676445,0.03927152317880794,0.06145090723191919,0.0802145188311863,0.03521523178807947,0.05128205128205128,2085.9075993377483
PPR,0.04753214086799242,0.026204055792237762,0.04629139072847682,0.05439178779597917,0.04969089705172916,0.04278145695364238,0.06667918615961102,0.08754893806167854,0.0375,0.05782869612656847,2052.977524834437
